Feature,current_range,importance,least_optimal_range,mean_target_in_least_optimal_range,mean_target_in_optimal_range,optimal_range
Feature_1_side_chain_1_property_MolLogP,"[-1.6093999999999995, 1.9231000000000005]",0.285664030369707,"[-1.6093999999999995, 1.9231000000000005]",-6.0831035755945395,-5.586315306797517,"[-0.23965510204081597, 0.6254469387755104]"
Feature_6_side_chain_6_property_MolLogP,"[-1.3486999999999996, 1.8795999999999995]",0.23050754980928953,"[-1.3486999999999996, 1.8795999999999995]",-5.983186649680898,-5.670505845904779,"[0.10074081632653065, 0.9572285714285713]"
Feature_2_side_chain_2_property_MolLogP,"[-1.6093999999999995, 1.3907000000000005]",0.22041996500390731,"[-1.6093999999999995, -0.8746816326530608]",-6.218180130552644,-5.723970990872363,"[0.5947551020408168, 1.3294734693877555]"
Feature_5_side_chain_5_property_MolLogP,"[-1.3832000000000002, 1.7942]",0.15317658461679187,"[-1.3832000000000002, -0.6050612244897959]",-6.286111688285934,-5.596287639359104,"[0.626991836734694, 1.7942]"
Feature_3_side_chain_3_property_MolLogP,"[-1.7263000000000002, 1.6294]",0.07456158100711001,"[0.3282102040816328, 1.6294]",-5.847304020326841,-5.730981387574744,"[-0.7675285714285716, 0.8075959183673471]"
Feature_4_side_chain_4_property_MolLogP,"[-1.6093999999999995, 1.5716]",0.03567028919319425,"[-1.6093999999999995, -0.8303795918367343]",-5.890062748303288,-5.774899555219447,"[-0.24611428571428529, 1.0522530612244902]"
