Feature,current_range,importance,least_optimal_range,mean_target_in_least_optimal_range,mean_target_in_optimal_range,optimal_range
Feature_71_distance_hydrogen_3_to_oxygen_1,"[-1.0, 5.772900200290625]",0.0033113541998099154,"[-1.0, 0.6586694368058672]",4.9658031009956005,4.982738130513062,"[4.114230763484757, 5.772900200290625]"
Feature_48_side_chain_5_property_SpherocityIndex,"[0.0761914059472578, 0.7840073270366816]",0.003211743500971561,"[0.6106646524841697, 0.7840073270366816]",4.962357390861933,4.964073981837942,"[0.0761914059472578, 0.24953408049976977]"
Feature_74_distance_hydrogen_3_to_oxygen_4,"[-1.0, 3.8322740984125487]",0.0031407962887961285,"[-1.0, 0.183414064917359]",4.964975002433501,4.9764353284850396,"[2.64886003349519, 3.8322740984125487]"
Feature_54_side_chain_6_property_MolLogP,"[0.24217999999999967, 6.333790000000001]",0.00308354936514457,"[0.24217999999999967, 1.7340028571428572]",4.957495796772629,4.971679467496785,"[4.841967142857144, 6.333790000000001]"
Feature_31_side_chain_4_property_Radius,"[2.669614899541456, 4.800663673762352]",0.002925419224385926,"[2.669614899541456, 3.1915043952690225]",4.961571583225261,4.966279048713665,"[4.278774178034785, 4.800663673762352]"
Feature_46_side_chain_5_property_Eccentricity,"[0.6179558479447765, 0.9901462444842781]",0.002911731340070098,"[0.6179558479447765, 0.7091045164850627]",4.962837056179833,4.963655374187117,"[0.8989975759439921, 0.9901462444842781]"
Feature_68_distance_hydrogen_2_to_oxygen_3,"[2.026973376050452, 4.315379732211085]",0.002675507392189077,"[3.754953685804399, 4.315379732211085]",4.960052555989169,4.964675780081473,"[2.026973376050452, 2.5873994224571373]"
Feature_7_side_chain_1_property_Asphericity,"[0.0257815362588078, 0.7704378531117918]",0.002368690859867928,"[0.0257815362588078, 0.2081463485493345]",4.9630989562729955,4.964430851020434,"[0.5880730408212651, 0.7704378531117918]"
Feature_9_side_chain_1_property_MolWt,"[137.1789999999999, 314.6019999999995]",0.0022951954303998883,"[271.1514693877547, 314.6019999999995]",4.79810506843693,5.1055980679750945,"[137.1789999999999, 180.6295306122447]"
Feature_18_side_chain_2_property_SpherocityIndex,"[0.0600929830705175, 0.6854254109628439]",0.0022579819844681863,"[0.5322827755606415, 0.6854254109628439]",4.962717849975988,4.963784046020681,"[0.0600929830705175, 0.2132356184727199]"
Feature_72_distance_hydrogen_3_to_oxygen_2,"[-1.0, 2.938165621620988]",0.002251658511673548,"[-1.0, -0.03555127633771715]",4.9643711132389825,4.9710669082035785,"[1.9737168979587056, 2.938165621620988]"
Feature_1_side_chain_1_property_Radius,"[2.775339511852492, 5.561779451770471]",0.0022040548362422165,"[2.775339511852492, 3.457732966526283]",4.962316383750173,4.966953817581655,"[4.87938599709668, 5.561779451770471]"
Feature_27_side_chain_3_property_Asphericity,"[0.053809040854037, 0.5824946794520102]",0.0020635534446402834,"[0.053809040854037, 0.18328307479639777]",4.9632691263254145,4.964092920807342,"[0.4530206455096493, 0.5824946794520102]"
Feature_59_side_chain_6_property_MolWt,"[147.2419999999998, 376.67399999999986]",0.002024972390572672,"[147.2419999999998, 203.4294285714284]",4.883587914775474,5.234403388734927,"[320.4865714285713, 376.67399999999986]"
Feature_16_side_chain_2_property_Eccentricity,"[0.7960097538482928, 0.9952205366193656]",0.0019712766767311877,"[0.7960097538482928, 0.8447960679963106]",4.96328058981769,4.963577118064297,"[0.9464342224713478, 0.9952205366193656]"
Feature_49_side_chain_5_property_MolWt,"[132.25099999999966, 358.6389999999997]",0.0019568416261425766,"[132.25099999999966, 187.69295918367314]",4.816910924198246,5.151425252691903,"[303.1970408163262, 358.6389999999997]"
Feature_45_side_chain_5_property_TPSA,"[26.019999999999964, 136.1399999999999]",0.0019532994387095543,"[26.019999999999964, 52.98816326530607]",4.8738112227908,5.036231658812347,"[109.17183673469378, 136.1399999999999]"
Feature_62_distance_hydrogen_1_to_oxygen_2,"[-1.0, 5.064730632159192]",0.0019263691932897493,"[3.579490477344696, 5.064730632159192]",4.954165183669285,4.962986973045806,"[-1.0, 0.485240154814496]"
Feature_25_side_chain_3_property_TPSA,"[26.019999999999975, 159.0799999999995]",0.0019157939086406589,"[26.019999999999975, 58.60612244897945]",4.91109329392221,5.103580536511961,"[126.49387755102, 159.0799999999995]"
Feature_2_side_chain_1_property_BertzCT,"[24.483994300453265, 501.3928969064278]",0.0018707225202843779,"[24.483994300453265, 141.2780112651817]",4.684768616479363,5.3584436429380755,"[384.5988799416993, 501.3928969064278]"
Feature_15_side_chain_2_property_TPSA,"[12.02999999999999, 145.3499999999998]",0.0016544769449169277,"[12.02999999999999, 44.67979591836729]",4.897886822291988,5.064443353985131,"[112.70020408163248, 145.3499999999998]"
Feature_28_side_chain_3_property_SpherocityIndex,"[0.0605555211673364, 0.7095833392841279]",0.001476408685877983,"[0.5506377511738932, 0.7095833392841279]",4.9631071261667765,4.963830687827953,"[0.0605555211673364, 0.21950110927757105]"
Feature_6_side_chain_1_property_Eccentricity,"[0.6491598878208653, 0.9960812144976253]",0.0014739204734267395,"[0.6491598878208653, 0.7341202127212964]",4.963176969932338,4.963563079616093,"[0.9111208895971943, 0.9960812144976253]"
Feature_8_side_chain_1_property_SpherocityIndex,"[0.0687477115928669, 0.6671759662347663]",0.0011810105425143055,"[0.5206221079551174, 0.6671759662347663]",4.963180256097994,4.963713924523988,"[0.0687477115928669, 0.21530156987251575]"
Feature_57_side_chain_6_property_Asphericity,"[0.0580170787867676, 0.565873032686423]",0.0011684348606193456,"[0.0580170787867676, 0.18238996545607095]",4.96336790081784,4.963815975802048,"[0.44150014601711957, 0.565873032686423]"
Feature_20_side_chain_2_property_NumRotatableBonds,"[0.0, 9.999999999999998]",0.0011645731500805855,"[7.551020408163264, 9.999999999999998]",4.956834648286597,4.965628363909654,"[0.0, 2.4489795918367343]"
Feature_5_side_chain_1_property_TPSA,"[43.09000000000002, 155.3199999999996]",0.0010988825026943907,"[127.83510204081603, 155.3199999999996]",4.907175186515735,5.000300096337439,"[43.09000000000002, 70.57489795918359]"
Feature_63_distance_hydrogen_1_to_oxygen_3,"[-1.0, 6.725529441346035]",0.0008849955553432718,"[4.833563047547006, 6.725529441346035]",4.957998971295679,4.963161648664572,"[-1.0, 0.891966393799029]"
Feature_26_side_chain_3_property_Eccentricity,"[0.711082447253403, 0.9851333367954613]",0.0007580606202887603,"[0.711082447253403, 0.7781969508147234]",4.963389379503885,4.963546249829002,"[0.9180188332341409, 0.9851333367954613]"
Feature_58_side_chain_6_property_SpherocityIndex,"[0.0620590665722784, 0.6912859801985196]",0.0006810688782473961,"[0.5371895931880115, 0.6912859801985196]",4.963302569176744,4.963626165791528,"[0.0620590665722784, 0.21615545358278643]"
Feature_73_distance_hydrogen_3_to_oxygen_3,"[-1.0, 0.0]",0.0006694604048213389,"[-1.0, -0.7551020408163265]",4.963565739790324,4.96407125070825,"[-0.24489795918367352, 0.0]"
Feature_39_side_chain_4_property_MolWt,"[131.24299999999977, 326.5729999999996]",0.0006420374661748058,"[131.24299999999977, 179.07891836734666]",4.930499059281345,5.025195785728554,"[278.7370816326527, 326.5729999999996]"
Feature_37_side_chain_4_property_Asphericity,"[0.0446321182249482, 0.5671989230508642]",0.0005827291551301807,"[0.0446321182249482, 0.17260766226394803]",4.9634100820828975,4.963640021914918,"[0.43922337901186437, 0.5671989230508642]"
Feature_85_distance_hydrogen_5_to_oxygen_5,"[-1.0, 0.0]",0.0005749236568045239,"[-0.24489795918367352, 0.0]",4.963109425036994,4.963543551063561,"[-1.0, -0.7551020408163265]"
Feature_56_side_chain_6_property_Eccentricity,"[0.7506619196000478, 0.9837321887108716]",0.0005705128760428492,"[0.7506619196000478, 0.8077403528516781]",4.9634348096756185,4.963535215284054,"[0.9266537554592413, 0.9837321887108716]"
Feature_22_side_chain_3_property_BertzCT,"[28.054353806778124, 642.4320101259553]",0.0005532431871467044,"[28.054353806778124, 178.51418800739296]",4.830329540834582,5.0869889153176135,"[491.97217592534054, 642.4320101259553]"
Feature_35_side_chain_4_property_TPSA,"[47.0299999999999, 126.05999999999996]",0.00048083653168276243,"[106.70571428571424, 126.05999999999996]",4.94555239498027,4.974246658463105,"[47.0299999999999, 66.38428571428562]"
Feature_34_side_chain_4_property_MolLogP,"[-0.4593099999999989, 5.314150000000006]",0.0004647662133242294,"[-0.4593099999999989, 0.9545985714285737]",4.962456154449816,4.964482326659066,"[3.9002414285714333, 5.314150000000006]"
Feature_44_side_chain_5_property_MolLogP,"[-0.0078199999999987, 5.47651]",0.000442306790853606,"[-0.0078199999999987, 1.3352812244897971]",4.962598812396753,4.964430506006639,"[4.133408775510205, 5.47651]"
