100	0	0
79.95865951	20.04134049	0
74.39407808	25.60592192	0
69.03574616	30.96425384	0
82.07417171	17.92582829	0
100	0	0
96.30246597	3.697534028	0
94.75097929	5.249020705	0
81.5940135	18.4059865	0
100	0	0
98.90472574	1.095274257	0
93.44420465	6.555795354	0
100	0	0
88.68987094	11.31012906	0
56.40655603	43.59344397	0
8.980806733	91.01919327	0
61.33375827	38.66624173	0
42.0747331	45.886121	12.03914591
46.02082628	53.97917372	0
69.33988212	30.66011788	0
2.861685215	74.00168334	23.13663144
75.70035916	24.29964084	0
55.36637821	33.77029034	10.86333146
43.24488147	47.16460129	9.590517241
55.74571124	37.18295986	7.071328901
66.43182437	28.39126542	5.176910202
59.68337731	32.62620932	7.690413369
58.29390221	36.72841981	4.977677975
89.49143633	10.50856367	0
32.52598807	44.56756899	22.90644293
72.65967821	27.34032179	0
12.89836888	53.0656629	34.03596821
52.53638448	36.48977491	10.97384061
22.73545732	36.25105648	41.0134862
58.44140298	41.55859702	0
16.82924686	83.17075314	0
88.35137728	11.64862272	0
46.98654184	53.01345816	0
69.58899569	30.41100431	0
65.32457643	34.67542357	0
100	0	0
78.48619161	21.51380839	0
20.54608223	68.64734805	10.80656972
39.84790875	60.15209125	0
100	0	0
83.3012512	16.6987488	0
15.75931232	84.24068768	0
33.17788141	66.82211859	0
100	0	0
0	0	100
85.04983389	14.95016611	0
0	36.21887176	63.78112824
0	100	0
80.68472602	19.31527398	0
100	0	0
