Address,Percent cyclization,Smiles
R6C1,60.66768995,CC(C)C[C@H](C(N[C@@H](Cc1ccccc1)C(N[C@H](CC(C)C)C(NC(C)(C)C(N[C@@H](CC(C)C)C(N[C@@H](CCC(O[n]1nnc2cccnc12)=O)C(NC(C)c1ccccc1)=O)=O)=O)=O)=O)=O)N
R4C3,100,C[C@H](C(N[C@H](Cc1c[n](C(OC(C)(C)C)=O)c2c1cccc2)C(N[C@H](C)C(N(C)[C@@H](C)C(N[C@@H](C)C(N[C@H](CC(O[n]1nnc2cccnc12)=O)C(NC(C)c1ccccc1)=O)=O)=O)=O)=O)=O)N
R8C3,82.96475466,C[C@H](C(N[C@H](Cc1c[n](C(OC(C)(C)C)=O)c2c1cccc2)C(N[C@H](C)C(N(C)[C@@H](C)C(NCC(N[C@@H](CCC(O[n]1nnc2cccnc12)=O)CC(NC(C)c1ccccc1)=O)=O)=O)=O)=O)=O)N
R7C7,100,CC[C@H](C)[C@@H](C(N[C@@H](Cc1c[n](C(OC(C)(C)C)=O)c2c1cccc2)C(N[C@H](CC(OCC=C)=O)C(N(CCC1)[C@@H]1C(N[C@@H]([C@@H](C)CC)C(NCC(O[n]1nnc2cccnc12)=O)=O)=O)=O)=O)=O)N
R7C2,100,CC[C@H](C)[C@@H](C(NCC(O[n]1nnc2cccnc12)=O)=O)NC([C@@H](CCC1)N1C([C@H](C(C)C)NC([C@H](Cc1c[n](C(OC(C)(C)C)=O)c2c1cccc2)NC([C@@H](CCC(OCC=C)=O)N)=O)=O)=O)=O
R5C2,100,CC(C)[C@@H](C(N(CCC1)[C@H]1C(N[C@H](C)C(N(C)[C@@H](CC(O[n]1nnc2cccnc12)=O)C(NC(C)c1ccccc1)=O)=O)=O)=O)NC([C@@H](Cc1ccccc1)NC([C@@H](CCC(OCC=C)=O)N)=O)=O
R5C7,92.96533727,CC[C@H](C)[C@@H](C(N[C@H](Cc1ccccc1)C(N[C@H](CC(OCC=C)=O)C(N(CCC1)[C@@H]1C(N[C@H](C)C(N(C)[C@@H](CC(O[n]1nnc2cccnc12)=O)C(NC(C)c1ccccc1)=O)=O)=O)=O)=O)=O)N
R6C5,59.17837136,CC(C)C[C@@H](C(N[C@@H](CCC(O[n]1nnc2cccnc12)=O)C(NC(C)c1ccccc1)=O)=O)NC([C@H](C(C)C)N(C)C(CNC([C@H](Cc1ccccc1)NC([C@@H](CC(OCC=C)=O)N)=O)=O)=O)=O
R4C8,96.50209642,CC(C)C[C@@H](C(N[C@H](Cc1c[n](C(OC(C)(C)C)=O)c2c1cccc2)C(N[C@@H](C)C(N(C)[C@H](C)C(N[C@@H](C)C(N[C@H](CC(O[n]1nnc2cccnc12)=O)C(NC(C)c1ccccc1)=O)=O)=O)=O)=O)=O)N
R4C4,94.47688025,CC(C)[C@@H](C(N[C@H](Cc1c[n](C(OC(C)(C)C)=O)c2c1cccc2)C(NCC(N(C)[C@H](C(C)C)C(N[C@@H](C)C(N[C@H](CC(O[n]1nnc2cccnc12)=O)C(NC(C)c1ccccc1)=O)=O)=O)=O)=O)=O)N
R1C7,90.89802468,CC[C@H](C)[C@@H](C(N[C@H](Cc1ccccc1)C(N[C@H](CC(OCC=C)=O)C(N(CCC1)[C@@H]1C(N[C@H](CC(C)C)C(N[C@@H](CC(O[n]1nnc2cccnc12)=O)C(NC(C)c1ccccc1)=O)=O)=O)=O)=O)=O)N
R1C2,100,CC(C)C[C@H](C(N[C@@H](CC(O[n]1nnc2cccnc12)=O)C(NC(C)c1ccccc1)=O)=O)NC([C@@H](CCC1)N1C([C@H](C(C)C)NC([C@@H](Cc1ccccc1)NC([C@@H](CCC(OCC=C)=O)N)=O)=O)=O)=O
R8C8,71.92199512,CC(C)C[C@@H](C(N[C@H](Cc1c[n](C(OC(C)(C)C)=O)c2c1cccc2)C(N[C@@H](C)C(N(C)[C@H](C)C(NCC(N[C@@H](CCC(O[n]1nnc2cccnc12)=O)CC(NC(C)c1ccccc1)=O)=O)=O)=O)=O)=O)N
R8C4,79.54545455,CC(C)[C@@H](C(N[C@H](Cc1c[n](C(OC(C)(C)C)=O)c2c1cccc2)C(NCC(N(C)[C@H](C(C)C)C(NCC(N[C@@H](CCC(O[n]1nnc2cccnc12)=O)CC(NC(C)c1ccccc1)=O)=O)=O)=O)=O)=O)N
R6C7,56.56228341,CC[C@H](C)[C@@H](C(N[C@@H](Cc1ccccc1)C(N[C@H](CC(OCC=C)=O)C(N(CCC1)[C@@H]1C(N[C@@H](CC(C)C)C(N[C@@H](CCC(O[n]1nnc2cccnc12)=O)C(NC(C)c1ccccc1)=O)=O)=O)=O)=O)=O)N
R6C2,83.51018067,CC(C)C[C@@H](C(N[C@@H](CCC(O[n]1nnc2cccnc12)=O)C(NC(C)c1ccccc1)=O)=O)NC([C@@H](CCC1)N1C([C@H](C(C)C)NC([C@H](Cc1ccccc1)NC([C@@H](CCC(OCC=C)=O)N)=O)=O)=O)=O
R4C6,100,C[C@@H](C(N[C@H](CC(O[n]1nnc2cccnc12)=O)C(NC(C)c1ccccc1)=O)=O)NC(CN(C)C([C@@H](CCC(OCC=C)=O)NC([C@@H](Cc1c[n](C(OC(C)(C)C)=O)c2c1cccc2)NC(CN)=O)=O)=O)=O
R4C1,92.18405519,CC(C)C[C@H](C(N[C@H](Cc1c[n](C(OC(C)(C)C)=O)c2c1cccc2)C(N[C@H](CC(C)C)C(NC(C)(C)C(N[C@@H](C)C(N[C@H](CC(O[n]1nnc2cccnc12)=O)C(NC(C)c1ccccc1)=O)=O)=O)=O)=O)=O)N
R8C6,88.2369184,CC(c1ccccc1)NC(C[C@H](CCC(O[n]1nnc2cccnc12)=O)NC(CNC(CN(C)C([C@@H](CCC(OCC=C)=O)NC([C@@H](Cc1c[n](C(OC(C)(C)C)=O)c2c1cccc2)NC(CN)=O)=O)=O)=O)=O)=O
R8C1,75.19234768,CC(C)C[C@H](C(N[C@H](Cc1c[n](C(OC(C)(C)C)=O)c2c1cccc2)C(N[C@H](CC(C)C)C(NC(C)(C)C(NCC(N[C@@H](CCC(O[n]1nnc2cccnc12)=O)CC(NC(C)c1ccccc1)=O)=O)=O)=O)=O)=O)N
R4C5,93.88754343,CC(C)[C@@H](C(N[C@@H](C)C(N[C@H](CC(O[n]1nnc2cccnc12)=O)C(NC(C)c1ccccc1)=O)=O)=O)N(C)C(CNC([C@@H](Cc1c[n](C(OC(C)(C)C)=O)c2c1cccc2)NC([C@@H](CC(OCC=C)=O)N)=O)=O)=O
